City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
347,Mecca,SA,78.91,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
348,Humaita,BR,77.7,light rain,-7.5061,-63.0208,Corrêa Hotel
352,Roma,US,57.99,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
353,Saint-Joseph,RE,78.8,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
356,Benicarlo,ES,54.0,clear sky,40.4165,0.4271,El Pinche De Oro
363,Carballo,ES,60.8,clear sky,43.213,-8.691,Pazo do Souto
365,Oruro,BO,54.55,broken clouds,-17.9833,-67.15,Eden by BlueBay
366,Mataram,ID,79.03,overcast clouds,-8.5833,116.1167,Hotel Santika Mataram
368,Ancud,CL,70.0,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
371,Sambava,MG,79.14,overcast clouds,-14.2667,50.1667,Melrose
373,Port Hedland,AU,73.4,clear sky,-20.3167,118.5667,The Esplanade Hotel
377,Tura,IN,71.98,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
378,Sioux Lookout,CA,55.4,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
380,Labuhan,ID,76.48,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
381,Yarmouth,US,53.6,clear sky,41.7057,-70.2286,Blue Rock Resort
384,Ono,JP,53.01,overcast clouds,34.85,134.9333,オーラ 小野店
386,Ocampo,MX,78.01,clear sky,21.65,-101.5,Hotel Estancia del Vaquero
395,Kushima,JP,59.0,broken clouds,31.4583,131.2333,Hanaoka
396,Ilhabela,BR,76.03,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
398,Ouesso,CG,76.35,scattered clouds,1.6136,16.0517,Hôtel ABENI
399,Lakes Entrance,AU,59.0,overcast clouds,-37.8811,147.981,The Esplanade Resort & Spa
403,Haimen,CN,68.0,overcast clouds,23.1935,116.6142,Jinghao Business Hotel
